,title,video_id,video_date,video_view,video_like
100,"[던파BGM] 성자의 땅, 엘레리논의 관문 (Gate of Ellerinon - Ozma raid)",EAibbyy0NNM,2021-05-21T07:40:03Z,158607,526
101,[던파BGM] 파멸의 길목 - 보스 (Path of Ruin Boss - Ozma raid),RBux7YpKJK0,2021-05-21T07:40:03Z,26403,65
102,[던파BGM] 공포의 대지 (Land of Terror - Ozma raid),56nTXw8UwQY,2021-05-21T07:40:02Z,33526,103
103,"[던파BGM] 거울의 정원, 아르미스 (Garden of the mirror, Armis - Ozma raid)",o9Ur559JzBY,2021-05-21T07:40:02Z,97456,432
104,"[던파BGM] 비극의 도시, 엘레리논 (City of tragedy, Ellerinon - Ozma raid)",cPGPfyBOHaQ,2021-05-21T07:40:02Z,219995,897
105,[던파BGM] 내면 (Ego - Ozma raid),h2T1BKFKqu8,2021-05-21T07:40:02Z,21881,63
106,[던파BGM] 절망의 갈림길 (Crossroads of despair - Ozma raid),HnNUqvREvPk,2021-05-21T07:40:02Z,32912,101
107,[던파] 시즌 7 Act 16. 오버타임,QfvaQWpk5NI,2021-05-12T06:01:18Z,25549,175
108,[던파] 진(眞) 크리에이터,eqf-HJOlDa4,2021-05-12T06:01:18Z,51136,158
109,[던파] 진(眞) 다크나이트,2TZG9e3IyW4,2021-05-12T06:01:18Z,73678,190
110,[던파] 던파ON에 추가된 GBL 연구소 꿀팁 안내,jiDmBFxm3CA,2021-05-11T01:30:04Z,7994,103
111,[던파BGM] 무덤의 탑,9ghBZZOeWYs,2021-05-03T06:03:15Z,14328,41
112,[던파BGM] 무덤의 탑 - 보스,qZTuWRuj4wQ,2021-05-03T06:03:13Z,16746,37
113,[던파] 진(眞) 히트맨,x9B1A14-tDs,2021-04-14T08:30:16Z,73658,198
114,[던파] 진(眞) 요원,wrf11pDkiYQ,2021-04-14T08:30:06Z,74997,213
115,[던파] 진(眞) 트러블 슈터,OVcgnpKmGBI,2021-04-14T08:30:06Z,79838,429
116,[던파] 시즌 7 Act 15. 탄환을 스치는 검날,pyrG86thVUA,2021-04-14T08:30:05Z,37115,260
117,[던파] 진(眞) 스페셜리스트,ZKHfxnKFwU4,2021-04-14T08:30:05Z,54790,181
118,[던파] 미니미니 왕국 이벤트,g4uQIRFjfYI,2021-03-18T01:00:45Z,10407,96
119,[던파] 시즌 7 Act 14. 굴레를 벗어난 자,7ldWLYXd_tM,2021-03-17T08:01:36Z,41912,324
120,[던파] 진(眞) 다크 랜서,RTNWhyet3Sc,2021-03-17T08:01:25Z,85473,326
121,[던파] 진(眞) 드래고니안 랜서,AHkyHEn8qz8,2021-03-17T08:01:25Z,82786,307
122,[던파] 진(眞) 뱅가드,k1t3xcIbYW0,2021-03-17T08:01:25Z,67062,213
123,[던파] 시즌 7 Act 13 외전. 에테르나,VbEOJKJOANQ,2021-03-03T08:31:01Z,18249,62
124,[던파BGM] 에테르나 - 필드 전투,HGRoCR0yotc,2021-03-03T08:30:47Z,12327,56
125,[던파BGM] 에테르나 - 겔드라허,Gx8_p2JR4AU,2021-03-03T08:30:47Z,15617,48
