,weapon,job,weapon_name,weapon_ratio,weapon_count,weapon_percent,new_name
84,"근원을 삼킨 스태프
759 (2.587%)",오버마인드,근원을 삼킨 스태프,759 (2.587%),759,(2.587%),근원 무기
85,"결전의 스태프 - 엘레멘탈마스터
360 (1.227%)",오버마인드,결전의 스태프 - 엘레멘탈마스터,360 (1.227%),360,(1.227%),결전 무기
86,"결전의 스태프 - 소환사
1,281 (7.172%)",이클립스,결전의 스태프 - 소환사,"1,281 (7.172%)",1281,(7.172%),결전 무기
87,"근원을 삼킨 스태프
611 (3.421%)",이클립스,근원을 삼킨 스태프,611 (3.421%),611,(3.421%),근원 무기
88,"결전의 로드 - 소환사
444 (2.486%)",이클립스,결전의 로드 - 소환사,444 (2.486%),444,(2.486%),결전 무기
89,"근원을 삼킨 로드
326 (1.825%)",이클립스,근원을 삼킨 로드,326 (1.825%),326,(1.825%),근원 무기
90,"결전의 창 - 배틀메이지
3,886 (12.359%)",아슈타르테,결전의 창 - 배틀메이지,"3,886 (12.359%)",3886,(12.359%),결전 무기
91,"근원을 삼킨 창
1,290 (4.103%)",아슈타르테,근원을 삼킨 창,"1,290 (4.103%)",1290,(4.103%),근원 무기
92,"결전의 봉 - 배틀메이지
750 (2.385%)",아슈타르테,결전의 봉 - 배틀메이지,750 (2.385%),750,(2.385%),결전 무기
93,"근원을 삼킨 십자가
7,510 (8.540%)",세인트,근원을 삼킨 십자가,"7,510 (8.540%)",7510,(8.540%),근원 무기
94,"결전의 십자가 - 크루세이더(남)
5,967 (6.786%)",세인트,결전의 십자가 - 크루세이더(남),"5,967 (6.786%)",5967,(6.786%),결전 무기
95,"근원을 삼킨 토템
1,904 (9.512%)",저스티스,근원을 삼킨 토템,"1,904 (9.512%)",1904,(9.512%),근원 무기
96,"결전의 토템 - 인파이터
1,120 (5.595%)",저스티스,결전의 토템 - 인파이터,"1,120 (5.595%)",1120,(5.595%),결전 무기
97,"근원을 삼킨 배틀액스
560 (4.575%)",태을선인,근원을 삼킨 배틀액스,560 (4.575%),560,(4.575%),근원 무기
98,"결전의 배틀액스 - 퇴마사
484 (3.954%)",태을선인,결전의 배틀액스 - 퇴마사,484 (3.954%),484,(3.954%),결전 무기
99,"결전의 염주 - 퇴마사
229 (1.871%)",태을선인,결전의 염주 - 퇴마사,229 (1.871%),229,(1.871%),결전 무기
100,"근원을 삼킨 염주
180 (1.471%)",태을선인,근원을 삼킨 염주,180 (1.471%),180,(1.471%),근원 무기
101,"결전의 낫 - 어벤저
907 (6.463%)",이모탈,결전의 낫 - 어벤저,907 (6.463%),907,(6.463%),결전 무기
102,"근원을 삼킨 낫
607 (4.326%)",이모탈,근원을 삼킨 낫,607 (4.326%),607,(4.326%),근원 무기
103,"근원을 삼킨 배틀액스
1,604 (8.523%)",인페르노,근원을 삼킨 배틀액스,"1,604 (8.523%)",1604,(8.523%),근원 무기
104,"결전의 배틀액스 - 이단심판관
568 (3.018%)",인페르노,결전의 배틀액스 - 이단심판관,568 (3.018%),568,(3.018%),결전 무기
105,"근원을 삼킨 십자가
14,442 (9.789%)",세라핌,근원을 삼킨 십자가,"14,442 (9.789%)",14442,(9.789%),근원 무기
106,"결전의 십자가 - 크루세이더(여)
11,753 (7.966%)",세라핌,결전의 십자가 - 크루세이더(여),"11,753 (7.966%)",11753,(7.966%),결전 무기
107,"결전의 낫 - 미스트리스
1,703 (8.260%)",리디머,결전의 낫 - 미스트리스,"1,703 (8.260%)",1703,(8.260%),결전 무기
108,"근원을 삼킨 낫
1,044 (5.064%)",리디머,근원을 삼킨 낫,"1,044 (5.064%)",1044,(5.064%),근원 무기
109,"근원을 삼킨 염주
1,906 (7.555%)",천선낭랑,근원을 삼킨 염주,"1,906 (7.555%)",1906,(7.555%),근원 무기
110,"결전의 염주 - 무녀
745 (2.953%)",천선낭랑,결전의 염주 - 무녀,745 (2.953%),745,(2.953%),결전 무기
111,"근원을 삼킨 완드
1,096 (8.888%)",타나토스,근원을 삼킨 완드,"1,096 (8.888%)",1096,(8.888%),근원 무기
112,"결전의 완드 - 사령술사
853 (6.918%)",타나토스,결전의 완드 - 사령술사,853 (6.918%),853,(6.918%),결전 무기
113,"근원을 삼킨 단검
978 (9.655%)",그림리퍼,근원을 삼킨 단검,978 (9.655%),978,(9.655%),근원 무기
114,"결전의 단검 - 섀도우댄서
362 (3.574%)",그림리퍼,결전의 단검 - 섀도우댄서,362 (3.574%),362,(3.574%),결전 무기
115,"근원을 삼킨 단검
629 (5.002%)",알키오네,근원을 삼킨 단검,629 (5.002%),629,(5.002%),근원 무기
116,"근원을 삼킨 쌍검
535 (4.255%)",알키오네,근원을 삼킨 쌍검,535 (4.255%),535,(4.255%),근원 무기
117,"결전의 단검 - 로그
472 (3.754%)",알키오네,결전의 단검 - 로그,472 (3.754%),472,(3.754%),결전 무기
118,"결전의 쌍검 - 로그
404 (3.213%)",알키오네,결전의 쌍검 - 로그,404 (3.213%),404,(3.213%),결전 무기
119,"근원을 삼킨 차크라 웨펀
835 (8.698%)",시라누이,근원을 삼킨 차크라 웨펀,835 (8.698%),835,(8.698%),근원 무기
120,"결전의 차크라 웨펀 - 쿠노이치
362 (3.771%)",시라누이,결전의 차크라 웨펀 - 쿠노이치,362 (3.771%),362,(3.771%),결전 무기
121,"결전의 소검 - 카오스
1,408 (9.617%)",마신,결전의 소검 - 카오스,"1,408 (9.617%)",1408,(9.617%),결전 무기
122,"근원을 삼킨 소검
1,084 (7.404%)",마신,근원을 삼킨 소검,"1,084 (7.404%)",1084,(7.404%),근원 무기
123,"근원을 삼킨 둔기
2,756 (7.095%)",세이비어,근원을 삼킨 둔기,"2,756 (7.095%)",2756,(7.095%),근원 무기
124,"결전의 둔기 - 팔라딘
1,377 (3.545%)",세이비어,결전의 둔기 - 팔라딘,"1,377 (3.545%)",1377,(3.545%),결전 무기
125,"근원을 삼킨 대검
793 (11.776%)",가이아,근원을 삼킨 대검,793 (11.776%),793,(11.776%),근원 무기
126,"결전의 대검 - 엘븐나이트
584 (8.672%)",가이아,결전의 대검 - 엘븐나이트,584 (8.672%),584,(8.672%),결전 무기
127,"근원을 삼킨 도
2,300 (12.914%)",드레드노트,근원을 삼킨 도,"2,300 (12.914%)",2300,(12.914%),근원 무기
128,"결전의 도 - 드래곤나이트
787 (4.419%)",드레드노트,결전의 도 - 드래곤나이트,787 (4.419%),787,(4.419%),결전 무기
129,"근원을 삼킨 소검
749 (7.732%)",다크나이트,근원을 삼킨 소검,749 (7.732%),749,(7.732%),근원 무기
130,"결전의 소검 - 다크나이트
274 (2.829%)",다크나이트,결전의 소검 - 다크나이트,274 (2.829%),274,(2.829%),결전 무기
